Район,Едностайни - цена,Едностайни - €/кв.м,Двустайни - цена,Двустайни - €/кв.м,Тристайни - цена,Тристайни - €/кв.м,Общо - €/кв.м,Дата
НПЗ Искър,Null,Null,50 127,569,Null,Null,569,30.7.2024
Надежда 1,37 525,873,94 525,1 516,125 400,1 336,1 327,30.7.2024
Надежда 2,64 600,1 390,95 000,1 479,133 332,1 375,1 388,30.7.2024
Надежда 3,44 175,932,90 250,1 268,99 750,1 231,1 242,30.7.2024
Надежда 4,74 385,1 819,92 241,1 403,132 050,1 420,1 420,30.7.2024
Обеля,42 275,956,80 037,1 193,133 000,1 255,1 230,30.7.2024
Обеля 1,57 950,1 314,89 401,1 235,126 945,1 236,1 235,30.7.2024
Обеля 2,50 492,1 080,69 350,1 210,104 500,1 184,1 147,30.7.2024
Оборище,94 838,2 375,189 050,2 654,277 710,2 664,2 665,30.7.2024
Овча купел,78 850,1 657,108 282,1 518,165 461,1 473,1 485,30.7.2024
Овча купел 1,52 867,1 197,81 700,1 187,125 194,1 359,1 330,30.7.2024
Овча купел 2,45 600,909,104 879,1 562,158 200,1 504,1 508,30.7.2024
Орландовци,29 450,626,81 700,1 330,98 800,1 280,1 277,30.7.2024
ПЗ Хладилника,24 088,472,103 194,1 297,267 900,2 029,2 042,30.7.2024
Павлово,43 785,1 091,89 666,1 277,159 125,1 672,1 294,30.7.2024
Подуяне,65 111,1 310,125 305,1 722,194 565,1 818,1 781,30.7.2024
Полигона,63 650,1 520,123 500,1 757,205 235,1 781,1 780,30.7.2024
Разсадника,57 000,1 187,100 225,1 624,142 500,1 575,1 610,30.7.2024
Редута,55 575,1 785,84 360,1 162,121 980,1 140,1 128,30.7.2024
СПЗ Слатина,Null,Null,58 900,841,189 050,1 718,1 280,30.7.2024
Света Троица,53 675,1 155,95 000,1 497,106 115,1 228,1 234,30.7.2024
Свобода,27 782,517,57 146,884,65 075,702,737,30.7.2024
Сердика,54 910,1 178,80 750,1 235,172 534,1 583,1 472,30.7.2024
Симеоново,129 675,2 130,128 250,1 665,239 001,1 900,1 895,30.7.2024
Славия,35 150,747,102 919,1 519,202 585,1 696,1 526,30.7.2024
Слатина,63 840,1 120,93 575,1 460,102 676,1 054,1 170,30.7.2024
Стрелбище,113 050,2 541,137 750,1 988,194 887,2 099,2 085,30.7.2024
Студентски град,41 040,912,97 850,1 453,161 490,1 500,1 347,30.7.2024
Сухата река,34 010,781,113 098,1 614,184 893,1 745,1 643,30.7.2024
Суходол,61 750,1 403,95 418,1 710,125 970,1 717,1 710,30.7.2024
Толстой,64 600,1 441,89 300,1 404,127 205,1 370,1 404,30.7.2024
Триъгълника,56 939,1 023,103 174,1 371,140 505,1 374,1 371,30.7.2024
Факултета,Null,Null,Null,Null,75 050,536,536,30.7.2024
Филиповци,Null,Null,66 500,801,Null,Null,703,30.7.2024
Фондови жилища,75 050,1 520,57 000,1 019,51 300,596,1 009,30.7.2024
Хаджи Димитър,63 145,1 548,89 300,1 484,150 100,1 659,1 640,30.7.2024
Хиподрума,47 215,935,74 575,1 087,165 300,1 393,1 213,30.7.2024
Хладилника,38 985,846,161 519,1 621,264 186,2 256,2 273,30.7.2024
Христо Ботев,Null,Null,Null,Null,Null,Null,679,30.7.2024
Център,80 864,1 623,128 250,1 894,199 500,1 943,1 919,30.7.2024
Яворов,75 905,2 621,168 625,2 582,172 900,1 900,2 018,30.7.2024
в.з.Американски колеж,Null,Null,39 900,570,202 540,1 974,570,30.7.2024
в.з.Беловодски път,Null,Null,171 000,1 858,Null,Null,1 858,30.7.2024
в.з.Бояна,Null,Null,133 712,1 788,192 660,1 852,1 852,30.7.2024
в.з.Бункера,Null,Null,Null,Null,190 000,1 357,1 357,30.7.2024
в.з.Врана - Лозен,13 898,397,22 051,400,220 400,2 139,848,30.7.2024
в.з.Горна баня,Null,Null,171 000,1 644,Null,Null,1 644,30.7.2024
в.з.Киноцентъра,Null,Null,296 400,1 829,323 095,2 445,2 445,30.7.2024
в.з.Киноцентъра 3 част,Null,Null,194 598,1 482,248 292,1 254,1 710,30.7.2024
в.з.Малинова долина,123 500,2 205,135 850,1 632,285 000,2 045,2 136,30.7.2024
в.з.Малинова долина - Герена,Null,Null,Null,Null,Null,Null,1 702,30.7.2024
в.з.Симеоново - Драгалевци,Null,Null,Null,Null,251 750,2 261,2 000,30.7.2024
гр. Банкя,70 300,1 562,114 000,1 621,152 475,1 425,1 565,30.7.2024
гр. Бухово,94 050,1 710,40 849,816,114 000,1 181,1 151,30.7.2024
гр. Нови Искър,Null,Null,52 250,816,153 900,1 361,1 361,30.7.2024
ж.гр.Зоопарк,Null,Null,63 650,826,94 050,810,818,30.7.2024
ж.гр.Южен парк,Null,Null,Null,Null,425 730,2 756,2 850,30.7.2024
м-т Гърдова глава,100 609,1 734,110 142,1 673,199 500,1 791,1 746,30.7.2024
м-т Детски град,Null,Null,137 750,1 683,204 250,1 834,1 662,30.7.2024
м-т Камбаните,Null,Null,283 629,2 324,204 245,1 850,1 850,30.7.2024
м-т яз. Искър,Null,Null,Null,Null,95 950,1 072,1 072,30.7.2024
с. Бистрица,Null,Null,Null,Null,231 087,1 725,1 694,30.7.2024
с. Владая,45 583,1 266,76 000,1 245,95 922,1 245,1 245,30.7.2024
с. Волуяк,Null,Null,66 500,503,66 500,503,503,30.7.2024
с. Герман,Null,Null,109 915,1 353,179 778,1 569,1 495,30.7.2024
с. Доброславци,Null,Null,Null,Null,Null,Null,760,30.7.2024
с. Иваняне,Null,Null,Null,Null,225 150,1 937,1 937,30.7.2024
с. Казичене,Null,Null,85 476,1 075,98 358,1 080,1 078,30.7.2024
с. Лозен,76 928,1 361,99 436,1 356,162 447,1 320,1 354,30.7.2024
с. Мало Бучино,Null,Null,Null,Null,114 000,1 027,1 027,30.7.2024
с. Мировяне,Null,Null,66 500,1 330,Null,Null,1 330,30.7.2024
с. Мърчаево,Null,Null,26 600,266,35 862,297,297,30.7.2024
с. Панчарево,Null,Null,149 625,2 007,212 852,1 891,1 900,30.7.2024
с. Световрачене,37 050,771,Null,Null,156 750,1 741,1 256,30.7.2024
7-ми 11-ти километър,Null,Null,107 011,1 587,156 899,1 488,1 587,25.7.2023
Банишора,47 120,1 170,91 750,1 467,134 321,1 347,1 406,25.7.2023
Белите брези,76 000,2 067,80 275,1 121,161 500,1 658,1 472,25.7.2023
Бенковски,Null,Null,90 155,1 325,97 375,1 023,1 196,25.7.2023
Борово,74 100,1 539,103 075,1 522,142 500,1 604,1 517,25.7.2023
Ботунец,14 250,309,25 911,418,53 674,560,423,25.7.2023
Ботунец 2,66 500,1 330,58 419,838,65 550,723,799,25.7.2023
Бояна,79 784,1 578,126 350,1 680,188 005,1 596,1 633,25.7.2023
Бъкстон,49 946,1 077,99 190,1 530,142 025,1 541,1 496,25.7.2023
Витоша,63 317,1 305,102 875,1 433,175 750,1 574,1 522,25.7.2023
Военна рампа,58 101,1 117,86 003,1 048,94 167,1 076,1 059,25.7.2023
Враждебна,66 500,1 131,55 622,722,123 594,1 283,1 061,25.7.2023
Връбница 1,45 590,1 325,82 650,1 391,130 910,1 341,1 374,25.7.2023
Връбница 2,44 507,956,90 541,1 258,118 646,1 274,1 273,25.7.2023
Гевгелийски,49 400,1 176,90 250,1 518,116 840,1 537,1 505,25.7.2023
Гео Милев,90 250,1 920,99 037,1 386,152 000,1 647,1 594,25.7.2023
Горна баня,38 000,678,104 120,1 600,151 680,1 550,1 590,25.7.2023
Горубляне,59 850,1 391,88 350,1 311,149 862,1 394,1 388,25.7.2023
Гоце Делчев,88 350,1 840,108 290,1 594,174 800,1 546,1 528,25.7.2023
Градина,Null,Null,110 865,1 539,99 750,927,959,25.7.2023
Дианабад,40 375,935,108 300,1 546,175 750,1 634,1 590,25.7.2023
Докторски паметник,118 740,2 827,285 000,4 297,332 500,3 674,3 800,25.7.2023
Драгалевци,89 062,1 792,125 400,1 628,183 350,1 453,1 520,25.7.2023
Дружба 1,44 649,1 068,89 049,1 312,121 505,1 221,1 270,25.7.2023
Дружба 2,69 160,1 354,101 650,1 428,152 475,1 432,1 428,25.7.2023
Дървеница,63 445,1 400,107 350,1 590,150 575,1 527,1 536,25.7.2023
Експериментален,47 737,1 868,98 268,1 723,101 602,1 170,1 543,25.7.2023
Западен парк,54 720,1 089,80 750,1 354,114 000,1 413,1 325,25.7.2023
Захарна фабрика,80 748,2 018,76 475,1 353,120 887,1 703,1 544,25.7.2023
Зона Б-18,52 250,1 148,104 257,1 431,147 606,1 507,1 478,25.7.2023
Зона Б-19,92 055,1 826,120 412,1 699,165 300,1 601,1 646,25.7.2023
Зона Б-5,75 958,1 504,128 250,1 790,180 500,1 740,1 740,25.7.2023
Зона Б-5-3,92 150,1 706,161 500,1 998,189 999,1 871,1 814,25.7.2023
Иван Вазов,141 550,1 705,85 500,1 285,171 000,1 890,2 015,25.7.2023
Изгрев,141 075,3 135,172 282,2 618,296 400,2 837,2 813,25.7.2023
Изток,49 400,1 896,130 150,1 636,223 249,2 207,2 207,25.7.2023
Илинден,73 102,1 782,80 750,1 425,124 445,1 496,1 442,25.7.2023
Илиянци,Null,Null,37 249,538,125 850,1 427,825,25.7.2023
Карпузица,46 702,1 275,98 385,1 585,157 963,1 415,1 398,25.7.2023
Княжево,38 950,750,72 200,867,131 100,1 277,1 051,25.7.2023
Красна поляна 1,38 000,791,61 750,994,100 402,1 140,1 021,25.7.2023
Красна поляна 2,58 757,1 259,86 212,1 333,108 300,1 247,1 300,25.7.2023
Красна поляна 3,66 025,1 488,85 215,1 396,135 042,1 342,1 380,25.7.2023
Красно село,76 950,1 499,110 997,1 488,175 319,1 606,1 567,25.7.2023
Кремиковци,18 097,377,18 643,294,39 900,498,437,25.7.2023
Кръстова вада,87 875,1 579,131 860,1 715,206 773,1 710,1 715,25.7.2023
Лагера,85 499,1 899,95 760,1 278,149 910,1 583,1 511,25.7.2023
Левски,66 559,1 582,83 439,1 238,123 975,1 236,1 237,25.7.2023
Левски В,46 098,897,85 944,1 271,127 834,1 280,1 232,25.7.2023
Левски Г,46 550,950,85 614,1 342,131 100,1 446,1 405,25.7.2023
Летище София,Null,Null,94 287,1 029,151 144,1 079,1 079,25.7.2023
Лозенец,60 924,1 444,132 050,1 810,225 150,2 137,1 979,25.7.2023
Люлин - център,43 605,1 055,80 750,1 222,133 774,1 275,1 231,25.7.2023
Люлин 1,40 460,975,57 617,929,107 350,1 106,980,25.7.2023
Люлин 10,42 735,1 124,91 010,1 290,112 939,1 127,1 140,25.7.2023
Люлин 2,38 475,769,66 723,935,117 010,1 157,1 052,25.7.2023
Люлин 3,29 450,613,75 905,1 228,100 985,1 163,1 155,25.7.2023
Люлин 4,52 677,1 328,75 050,1 209,109 677,1 240,1 241,25.7.2023
Люлин 5,48 450,1 032,66 405,1 077,114 665,1 138,1 092,25.7.2023
Люлин 6,40 755,916,63 684,1 005,109 250,1 242,1 048,25.7.2023
Люлин 7,46 075,1 196,66 500,1 200,97 327,1 078,1 211,25.7.2023
Люлин 8,46 787,945,66 500,918,102 600,1 146,950,25.7.2023
Люлин 9,55 171,1 176,85 475,1 183,122 308,1 141,1 183,25.7.2023
Малинова долина,63 365,1 420,92 150,1 362,149 625,1 368,1 374,25.7.2023
Манастирски ливади,72 456,1 620,112 483,1 583,185 250,1 616,1 589,25.7.2023
Медицинска академия,68 875,2 042,144 637,2 123,218 500,2 080,2 017,25.7.2023
Младост 1,39 900,1 103,107 777,1 639,138 225,1 675,1 633,25.7.2023
Младост 1А,59 375,1 236,67 402,928,115 716,938,990,25.7.2023
Младост 2,57 000,1 227,114 000,1 727,137 750,1 454,1 641,25.7.2023
Младост 3,47 499,1 079,98 800,1 461,152 000,1 546,1 416,25.7.2023
Младост 4,76 843,1 579,98 800,1 500,161 025,1 581,1 537,25.7.2023
Модерно предградие,40 137,1 064,69 825,829,108 157,1 105,1 048,25.7.2023
Мусагеница,67 925,1 441,121 600,1 898,132 050,1 631,1 675,25.7.2023
НПЗ Искър,Null,Null,50 127,569,Null,Null,617,25.7.2023
НПЗ Хаджи Димитър,Null,Null,93 100,1 432,Null,Null,1 432,25.7.2023
Надежда 1,40 850,897,88 302,1 370,114 950,1 292,1 325,25.7.2023
Надежда 2,52 250,1 120,92 720,1 426,119 605,1 330,1 350,25.7.2023
Надежда 3,46 222,1 054,80 750,1 322,104 377,1 140,1 162,25.7.2023
Надежда 4,28 025,609,87 940,1 263,116 176,1 278,1 257,25.7.2023
Обеля,34 200,684,79 562,1 293,113 971,1 242,1 242,25.7.2023
Обеля 1,74 100,1 764,72 670,1 139,109 630,1 140,1 140,25.7.2023
Обеля 2,61 750,1 383,74 337,1 238,114 000,1 175,1 222,25.7.2023
Оборище,106 155,2 205,150 480,2 261,246 050,2 440,2 375,25.7.2023
Овча купел,56 109,1 463,94 952,1 343,147 896,1 390,1 362,25.7.2023
Овча купел 1,42 750,858,72 618,998,105 545,981,998,25.7.2023
Овча купел 2,45 410,1 136,87 889,1 345,142 319,1 235,1 273,25.7.2023
Орландовци,67 445,894,76 000,1 181,76 712,890,1 124,25.7.2023
ПЗ Хладилника,24 088,472,90 939,1 163,237 500,1 889,1 786,25.7.2023
Павлово,34 665,845,83 695,1 263,156 655,1 613,1 387,25.7.2023
Подуяне,37 999,690,119 795,1 710,185 521,1 712,1 709,25.7.2023
Полигона,78 660,1 866,114 000,1 677,186 608,1 764,1 705,25.7.2023
Разсадника,60 800,1 465,83 345,1 325,119 700,1 483,1 358,25.7.2023
Редута,55 575,1 208,95 427,1 390,141 787,1 473,1 243,25.7.2023
СПЗ Модерно предградие,Null,Null,78 375,1 205,Null,Null,1 205,25.7.2023
СПЗ Слатина,Null,Null,58 900,841,Null,Null,841,25.7.2023
Света Троица,54 150,1 108,104 405,1 593,126 340,1 490,1 491,25.7.2023
Свобода,43 816,976,47 500,737,66 500,707,707,25.7.2023
Сердика,55 170,1 200,104 766,1 596,189 905,1 636,1 614,25.7.2023
Симеоново,76 000,1 199,128 250,1 684,205 200,1 747,1 660,25.7.2023
Славия,39 567,747,99 892,1 298,180 500,1 769,1 605,25.7.2023
Слатина,65 597,1 506,87 875,1 545,113 886,1 148,1 334,25.7.2023
Стрелбище,80 750,1 971,126 350,2 044,171 000,1 878,1 847,25.7.2023
Студентски град,48 450,1 144,95 000,1 385,147 250,1 377,1 345,25.7.2023
Сухата река,42 465,1 294,109 012,1 547,161 500,1 617,1 580,25.7.2023
Суходол,61 750,1 403,48 450,615,104 500,910,910,25.7.2023
Толстой,54 084,1 105,80 750,1 223,94 583,1 133,1 187,25.7.2023
Триъгълника,61 629,912,80 037,1 306,140 505,1 332,1 331,25.7.2023
Филиповци,Null,Null,66 500,801,Null,Null,703,25.7.2023
Фондови жилища,58 900,1 275,78 850,1 461,64 505,690,1 435,25.7.2023
Хаджи Димитър,62 386,1 277,93 860,1 469,142 431,1 509,1 475,25.7.2023
Хиподрума,49 400,985,90 250,1 140,207 855,1 883,1 632,25.7.2023
Хладилника,43 716,993,142 500,1 869,234 873,1 881,1 885,25.7.2023
Христо Ботев,Null,Null,Null,Null,Null,Null,679,25.7.2023
Център,61 203,1 416,128 250,1 834,198 550,1 970,1 900,25.7.2023
Яворов,47 500,2 714,180 500,2 776,204 250,2 265,2 525,25.7.2023
в.з.Американски колеж,Null,Null,39 900,570,53 580,570,1 071,25.7.2023
в.з.Бояна,Null,Null,Null,Null,164 350,1 254,1 254,25.7.2023
в.з.Бункера,Null,Null,Null,Null,190 000,1 357,1 357,25.7.2023
в.з.Врана - Лозен,13 898,397,63 650,1 224,154 280,1 318,1 224,25.7.2023
в.з.Киноцентъра,Null,Null,Null,Null,232 750,2 023,2 023,25.7.2023
в.з.Киноцентъра 3 част,Null,Null,184 670,1 449,250 800,1 254,1 254,25.7.2023
в.з.Малинова долина,Null,Null,151 050,1 798,446 811,2 510,2 278,25.7.2023
в.з.Малинова долина - Герена,Null,Null,266 264,2 182,405 520,2 278,2 278,25.7.2023
в.з.Симеоново - Драгалевци,Null,Null,81 700,1 317,259 910,2 174,1 899,25.7.2023
гр. Банкя,75 050,1 667,97 422,1 233,135 850,1 002,1 140,25.7.2023
гр. Бухово,46 550,1 034,25 650,513,94 050,1 175,862,25.7.2023
гр. Нови Искър,Null,Null,46 550,732,104 025,1 425,844,25.7.2023
ж.гр.Зоопарк,Null,Null,63 650,826,133 332,1 235,826,25.7.2023
ж.гр.Южен парк,Null,Null,194 750,2 562,342 000,2 767,2 711,25.7.2023
м-т Гърдова глава,90 197,1 641,114 000,1 676,173 789,1 640,1 640,25.7.2023
м-т Детски град,Null,Null,89 015,1 317,176 605,1 900,1 751,25.7.2023
м-т Камбаните,Null,Null,199 584,1 873,169 575,1 615,1 733,25.7.2023
м-т яз. Искър,Null,Null,Null,Null,95 950,1 072,1 072,25.7.2023
с. Бистрица,Null,Null,127 266,1 844,169 704,1 616,1 730,25.7.2023
с. Владая,50 816,1 390,81 206,1 240,114 209,1 236,1 240,25.7.2023
с. Волуяк,Null,Null,66 500,503,66 500,503,503,25.7.2023
с. Герман,Null,Null,92 055,1 296,Null,Null,1 296,25.7.2023
с. Доброславци,Null,Null,Null,Null,236 892,1 253,1 253,25.7.2023
с. Железница,Null,Null,Null,Null,91 200,1 520,1 520,25.7.2023
с. Иваняне,Null,Null,Null,Null,270 750,2 166,2 166,25.7.2023
с. Казичене,Null,Null,Null,Null,95 000,1 357,1 357,25.7.2023
с. Лозен,Null,Null,65 762,933,83 562,815,834,25.7.2023
с. Мърчаево,Null,Null,26 600,266,35 862,297,297,25.7.2023
с. Панчарево,Null,Null,154 850,2 076,167 199,1 400,1 572,25.7.2023
с. Световрачене,37 050,771,Null,Null,Null,Null,771,25.7.2023
с. Яна,Null,Null,130 625,1 820,215 270,1 993,1 900,25.7.2023
7-ми 11-ти километър,Null,Null,108 981,1 453,168 292,1 438,1 133,26.7.2022
Банишора,56 733,1 418,76 933,1 377,126 358,1 289,1 353,26.7.2022
Белите брези,55 100,1 377,80 275,1 078,176 937,1 381,1 291,26.7.2022
Бенковски,51 205,1 383,69 635,1 105,90 250,1 002,1 002,26.7.2022
Борово,49 095,950,95 000,1 347,135 707,1 254,1 261,26.7.2022
Ботунец,18 050,401,20 900,323,35 625,359,399,26.7.2022
Ботунец 2,38 950,779,40 802,686,37 515,521,713,26.7.2022
Бояна,50 350,700,122 875,1 561,196 650,1 550,1 546,26.7.2022
Бъкстон,46 288,1 176,85 310,1 277,122 312,1 214,1 274,26.7.2022
Витоша,55 100,1 200,93 917,1 316,162 070,1 377,1 330,26.7.2022
Военна рампа,Null,Null,58 900,1 033,125 850,1 237,1 134,26.7.2022
Враждебна,71 250,950,19 199,241,114 000,609,579,26.7.2022
Връбница 1,81 647,1 792,68 681,1 047,112 090,1 180,1 075,26.7.2022
Връбница 2,46 407,1 009,78 565,1 233,115 287,1 231,1 231,26.7.2022
Гевгелийски,49 400,1 176,68 400,1 662,83 599,949,1 569,26.7.2022
Гео Милев,62 700,1 914,92 910,1 336,160 550,1 574,1 429,26.7.2022
Горна баня,58 812,1 225,83 151,1 090,134 900,1 331,1 233,26.7.2022
Горубляне,57 000,1 221,71 125,1 201,133 000,1 282,1 259,26.7.2022
Гоце Делчев,75 565,1 363,109 250,1 583,186 200,1 798,1 607,26.7.2022
Градина,Null,Null,Null,Null,99 750,927,950,26.7.2022
Дианабад,35 387,851,98 921,1 474,156 750,1 567,1 505,26.7.2022
Докторски паметник,142 500,4 750,242 231,4 115,285 000,3 585,3 762,26.7.2022
Драгалевци,89 062,1 157,105 925,1 425,167 200,1 304,1 425,26.7.2022
Дружба 1,42 750,1 015,75 050,1 129,109 250,1 140,1 137,26.7.2022
Дружба 2,49 542,1 110,87 400,1 269,132 050,1 296,1 278,26.7.2022
Дървеница,66 414,1 437,96 615,1 424,145 052,1 384,1 420,26.7.2022
Експериментален,48 450,1 851,Null,Null,80 750,950,1 543,26.7.2022
Западен парк,38 950,938,87 875,1 458,88 350,1 235,1 364,26.7.2022
Захарна фабрика,49 305,1 232,52 250,948,96 900,1 140,1 013,26.7.2022
Зона Б-18,57 000,1 583,76 000,1 205,137 130,1 278,1 299,26.7.2022
Зона Б-19,88 350,1 472,102 792,1 401,121 742,1 233,1 356,26.7.2022
Зона Б-5,39 425,821,126 350,1 716,158 650,1 376,1 615,26.7.2022
Зона Б-5-3,90 250,1 671,146 300,2 143,209 000,1 672,1 710,26.7.2022
Иван Вазов,85 500,2 850,110 675,1 596,174 800,1 929,2 137,26.7.2022
Изгрев,Null,Null,178 885,2 569,275 025,2 665,2 618,26.7.2022
Изток,58 900,1 898,141 539,1 689,204 250,2 046,2 055,26.7.2022
Илинден,75 999,1 551,71 962,1 100,111 625,1 281,1 261,26.7.2022
Илиянци,Null,Null,58 899,1 033,136 550,1 362,1 033,26.7.2022
Карпузица,48 005,813,83 125,1 321,112 480,1 179,1 234,26.7.2022
Княжево,34 865,750,56 753,798,85 500,855,855,26.7.2022
Красна поляна 1,44 840,883,63 175,1 005,77 187,964,994,26.7.2022
Красна поляна 2,68 875,1 533,81 690,1 237,99 750,1 141,1 157,26.7.2022
Красна поляна 3,68 305,1 628,87 400,1 388,114 000,1 300,1 310,26.7.2022
Красно село,56 278,1 198,96 140,1 182,156 749,1 427,1 329,26.7.2022
Кремиковци,18 097,377,18 643,294,39 900,498,437,26.7.2022
Кръстова вада,77 182,1 364,110 651,1 550,187 588,1 542,1 551,26.7.2022
Лагера,48 450,1 247,89 300,1 189,138 476,1 183,1 198,26.7.2022
Левски,49 400,1 262,76 328,1 151,120 650,1 089,1 143,26.7.2022
Левски В,63 454,1 232,85 499,1 225,129 251,1 254,1 238,26.7.2022
